year	month	day	NEE	GPP	Reco	LHF
2019	8	1	4.3335	2.62869	6.96219	4.35644
2019	8	2	5.21877	1.183	6.40177	1.83169
2019	8	3	5.25484	0.79652	6.05136	4.11771
2019	8	4	3.88354	1.56953	5.45307	4.19637
2019	8	5	4.95731	0.75241	5.70972	3.2501
2019	8	6	4.37276	1.32685	5.69961	3.34303
2019	8	7	4.38599	0.99404	5.38003	2.83551
2019	8	8	3.14257	1.5326	4.67516	1.66644
2019	8	9	3.98729	0.97321	4.9605	3.86438
2019	8	10	3.98247	1.026	5.00846	3.43488
2019	8	11	1.93873	2.70789	4.64662	3.97615
2019	8	12	2.75325	2.06465	4.8179	3.76585
2019	8	13	1.55386	2.61882	4.17268	2.44694
2019	8	14	1.68912	1.76931	3.45843	2.15482
2019	8	15	3.35296	0.64945	4.00241	4.62084
2019	8	16	1.95908	1.84273	3.80181	3.16569
2019	8	17	1.86853	1.49102	3.35955	4.1142
2019	8	18	1.90874	1.55004	3.45877	3.91337
2019	8	20	0.94838	2.5954	3.54377	4.75869
2019	8	21	0.08688	3.44313	3.53001	3.3678
2019	8	22	0.76174	2.60623	3.36798	3.30001
2019	8	23	1.13112	2.51425	3.64537	3.0809
2019	8	24	4.02304	0.86293	4.88597	3.59263
2019	8	25	4.22764	0.20521	4.43284	2.97153
2019	8	26	3.58624	0.32725	3.91349	2.93004
2019	8	27	4.07194	0.15675	4.22869	3.14037
2019	8	28	4.04094	0.1928	4.23374	2.6487
2019	8	29	3.95087	0.21596	4.16684	2.27284
2019	8	30	3.76753	0.25528	4.02281	1.98049
2019	8	31	3.83537	0.27837	4.11374	2.02558
2019	9	1	3.69375	0.22325	3.91699	1.99256
2019	9	2	3.54244	0.05233	3.59477	2.05976
2019	9	3	2.64207	0.06842	2.71049	1.44046
2019	9	4	2.88666	0.0939	2.98055	2.20756
2019	9	5	2.64229	0.28429	2.92658	1.99921
2019	9	6	3.08449	0.14385	3.22834	1.41775
2019	9	7	2.6458	0.13621	2.78201	1.03638
2019	9	8	3.27409	0.04986	3.32395	1.57777
2019	9	9	2.2826	0.40843	2.69103	0.48231
2019	9	10	3.32251	0.17788	3.50039	1.85687
2019	9	12	3.66928	0.10741	3.77669	2.1834
2019	9	13	3.19261	0.2324	3.425	2.14899
2019	9	14	2.61401	0.2746	2.88861	1.92544
2019	9	15	2.4775	0.20215	2.67964	1.58949
